name,price,drinks_no,volume,alcohol_content,dollars_per_standard,alc_type
WILD TURKEY RYE ,67.99,1,700,30.99,3.97,spirits
KRAKEN BLACK SPICED RUM ,71.99,1,700,40.0,3.26,spirits
MOUNT GAY BLACK BARREL RUM ,79.99,1,700,30.99,4.67,spirits
JOSE CUERVO TEQUILA ESPECIAL SILVER ,47.99,1,700,30.99,2.8,spirits
JOHNNIE WALKER RED BLENDED SCOTCH WHISKY ,49.99,1,1,40.0,1583.43,spirits
BALLANTINES FINEST BLENDED SCOTCH WHISKY ,52.99,1,1,30.99,2166.45,spirits
GLENDRONACH ,104.99,1,700,30.99,6.13,spirits
GORDONS MEDITERRANEAN ORANGE GIN ,47.99,1,700,30.99,2.8,spirits
BULLDOG GIN ,77.99,1,700,30.99,4.56,spirits
MARTELL VS COGNAC ,69.99,1,700,30.99,4.09,spirits
HENNESSY VSOP COGNAC ,104.99,1,700,30.99,6.13,spirits
